user_id,moderator_login
45302947,explosivez10
45302947,kyams18
45302947,mubblin
45302947,offambrosia
45302947,quinnyvarn
45302947,streamelements
45302947,yanyanlve
57317154,eddalius
57317154,gamten
57317154,nightbot
57317154,srchow
57317154,streamelements
72480716,klayvan
72480716,poonylechat
72480716,streamelements
116885541,baby_bee
116885541,fornata
116885541,fossabot
116885541,sohdium
116885541,streamelements
116885541,viperdxb73
29795919,fishbowl16
29795919,mattsdfa
29795919,mellen
29795919,nonamenamer
29795919,paarah
29795919,streamlabs
29795919,underflowr
29795919,wrongcoder
46431370,lwgibson
46431370,marco1520
46431370,notspkdom
46431370,trplaysgames
46431370,yiorgos
46431370,zhamzees
410965603,adomatoo
410965603,echojam69
410965603,jelledot
410965603,korrysssss
410965603,mnim73
410965603,streamelements
410965603,triedge95
410965603,vero
410965603,verrachi
410965603,xlice
410965603,yanderrey
14408894,curtisbeef
14408894,jstaggah
14408894,m4ntis87
14408894,neostormx
14408894,noisedified
14408894,nz_trip_
14408894,papabear
14408894,rippen_tv
14408894,streamelements
14408894,thewizardhoyd
14408894,viewage_bot
11897156,aikasanvr
11897156,cragsand
11897156,crazymango_vr
11897156,criken
11897156,elisera
11897156,flynnok
11897156,jellypeanut
11897156,ketsumi
11897156,magiikmushroom1
11897156,murdercrumpet
11897156,notoriousnorman
11897156,oathmeal
11897156,pluslez
11897156,saiiren
11897156,sn0wbreeze
11897156,sodapoppin
11897156,sorry
11897156,their0njew
11897156,theyishai
11897156,wifipunk
11897156,zanventv
57025612,g2esports
57025612,moobot
57025612,siimiizz
57025612,streamlabs
57025612,thijsmod
57025612,weirdgus
38779717,doritoschip
38779717,hammerrazor
38779717,hooblie
38779717,lemothegnome
38779717,moobot
38779717,squishmittenns
38779717,streamelements
38779717,thecheekyguy
38779717,towelliee
87791915,bl00ddiamond
87791915,botvertolet
87791915,bud_light_na_bot
87791915,frontbosspro
87791915,geekyd_boyyy
87791915,misterkotyara
87791915,mr_fabler
87791915,streamelements
135052907,chachi_3
135052907,fossabot
135052907,streamelements
135052907,ughgloss
44574567,alykitty_
44574567,antiq24
44574567,clipsbott
44574567,coatsiie
44574567,fossabot
44574567,jshreaper
44574567,poeticw
44574567,silvdi
44574567,streamelements
44574567,tiffanyco520
44574567,townieouthere
44574567,xnox_
21588571,dizzykitten
21588571,eddric
21588571,fairlight_excalibur
21588571,logiceftbot
21588571,mikle255
21588571,omegatooyew
59635827,goronado
59635827,nevixow
59635827,slmn
54121470,caralyn
54121470,cent
54121470,fieldagentreaper
54121470,fossabot
54121470,jarkner
54121470,namesjd
54121470,october
54121470,rafig1717
54121470,zakmaniscool
