user_id,chatter_login
190835892,000000_gaek
190835892,12311
190835892,0000js
190835892,0000ng
190835892,0001sky
190835892,000212jh
190835892,248
190835892,0005zxc
190835892,000mee7748
190835892,000nunu000
190835892,000r4n9e
190835892,0028ys12
190835892,5555500
190835892,00567abc
190835892,5935
190835892,690143
190835892,007400a
190835892,007ooo
190835892,0081qwe
190835892,0086c206
190835892,00_05_09_
190835892,00_sukl
190835892,00destiny
190835892,00dltmdals
190835892,00gmi
190835892,00leejs
190835892,00liseo00
190835892,00russellwestbrook00
190835892,010112as
190835892,1017799111
190835892,0101pcm
190835892,1024132372
190835892,1026278921
190835892,1027203735
190835892,010298ss
190835892,1030017890
190835892,1036862327
190835892,1046295654
190835892,1047081187
190835892,1049194708
190835892,1049547771
190835892,1049684889
190835892,1051229384
190835892,105595
190835892,1057660336
190835892,0105yohan
190835892,1064097667
190835892,1064369423
190835892,1071177498
190835892,1072293809
190835892,1077262228
190835892,1080070804
190835892,1080583898
190835892,1085285053
190835892,1090974019
190835892,1094509266
190835892,1094915205
190835892,1094949502
190835892,1095068239
190835892,1095668158
190835892,010chw
190835892,01110129kjm
190835892,0114ajs00
190835892,12789
190835892,012dori
190835892,0131cm
190835892,1508021111
190835892,015neo
190835892,0178love
190835892,017can9
190835892,01_hs
190835892,01isthegod
190835892,01jaimin
190835892,01juyeol
190835892,0204epocs
190835892,2070
190835892,0208joy1
190835892,020918e
190835892,020927jjh
190835892,2100329
190835892,2.11E+11
190835892,0214__
190835892,0219autodidact
190835892,0221jake
190835892,0226whddnjs
190835892,0228top
190835892,023ansdjxkd
190835892,02adckdh
190835892,02joon
190835892,02saseum22
190835892,02ssaw
190835892,02sungwon
190835892,0301dl
190835892,0302gh
190835892,0304bluelee
190835892,0309uf
190835892,030sv
190835892,3121303
190835892,0314cjh
190835892,0314jyoung
190835892,0316sch
190835892,0317mom
190835892,0321sjj
190835892,0324minami
190835892,325741969
190835892,339377322
190835892,3580358
190835892,0378hajin
190835892,03runna
190835892,03shin9
190835892,0403ricky
190835892,0409born
190835892,041105my
190835892,0420ryan
190835892,0421hj2
190835892,0426runa
190835892,0430oe
190835892,0471as
190835892,04_yhhj
190835892,04flower
190835892,04minjuni
190835892,04nylas07
190835892,0503ghkdud
190835892,0508co
190835892,0510bear__
190835892,512111
190835892,051251jw
190835892,5171004
190835892,0518mun
190835892,51999
190835892,051sa10
190835892,0522shin
190835892,0525jjh
190835892,05cbnu
190835892,05charlie
190835892,05eheh05
190835892,0611jang
190835892,0620jmj
190835892,0621peter
190835892,0630hosh
190835892,0636sj
190835892,0681hj
190835892,708000
190835892,0711yr
190835892,0712sin
190835892,0715kps
190835892,0719kdy
190835892,0719woo
190835892,0745lsh
190835892,0768hong
190835892,0789zxc
190835892,078jkim6
190835892,07syaro15
190835892,0803khk
190835892,080player
190835892,0810yoon
190835892,0813aiden
190835892,0813gh
190835892,8271024
190835892,0831hoho
190835892,0831leesr
190835892,83458
190835892,0856ws
190835892,8607
190835892,08947pupu
190835892,08sig
190835892,9031922182
190835892,0905kea
190835892,0906jh
190835892,0913cosmos
190835892,0917apple
190835892,091cory
190835892,0920wiz
190835892,9.23E+06
190835892,0925sep
190835892,0928ll
190835892,932318794
190835892,971180888
190835892,973016761
190835892,976707852
190835892,0976richard
190835892,098098asd
190835892,09921o
190835892,09ga_
190835892,09gusdlf
190835892,09jobss
190835892,0_0n_n
190835892,0_2_2_8
190835892,0_3_013
190835892,0_4_0_2
190835892,0_5_0
190835892,0_________z
190835892,0_blrang
190835892,0_nekopara_0
190835892,0b3sepigeon
190835892,0bbkkww0
190835892,0bgoldenlager
190835892,0byeori0
190835892,0cindy0
190835892,0cube43
190835892,0dd3y3
190835892,0deuk
190835892,0dezabu0
190835892,0dzsr0
190835892,0endermaru0
190835892,0frogball2
190835892,0ggiggi
190835892,0hanha0
190835892,0hanth
190835892,0hew1
190835892,0hyeaho1
190835892,0jinppare
190835892,0l_1q_
190835892,0l_l2_2l
190835892,0liillili0
190835892,0megaboys
190835892,0min9406
190835892,0momento0
190835892,0mr_jinny
190835892,0nesitobebe
190835892,0o0o0o0o0q
190835892,0oliveoil0
190835892,0p0bot
190835892,0pallee
190835892,0q2w3e
190835892,0rlaahstlals0
190835892,0s_ss_s0
190835892,0shp0
190835892,0simsim0
190835892,0soneddie
190835892,0stsehee
190835892,0templari0
190835892,0ung0101
190835892,0urin0
190835892,0uuuuuuuuuu0
190835892,0vermaster
190835892,0vrall
190835892,0w0_a
190835892,1000nuri
190835892,1000susrjqnr
190835892,1000times
190835892,1000years_wizard_houmusae
190835892,1000yeji
190835892,1001___
190835892,1001he54e
190835892,1001lsm
190835892,1003ljw
190835892,10040203
190835892,10041004486
190835892,1004_chino1204
190835892,1004_tv_
190835892,1004gom
190835892,1004i7
190835892,1004illya
190835892,1004lkk
190835892,1004pks
190835892,1006cck
190835892,1009d
190835892,100_kok
190835892,100doo
190835892,100doraze
190835892,100harry
190835892,100jin5
190835892,100mangrove
190835892,100probio
190835892,100quadrillion
190835892,100zzang
190835892,1010001001
190835892,101010park
190835892,101029271
190835892,1012lee
190835892,1013_0613
190835892,1015qaz
190835892,1016octch
190835892,10181121
190835892,101814
190835892,1020_once
190835892,1021674411
190835892,1021ckh
190835892,1023mez
190835892,1025hsb
190835892,102hy
190835892,102rep
190835892,1030fl
190835892,1030ha
190835892,103877
190835892,103mon
190835892,1045p
190835892,104939434
190835892,105kilogram
190835892,107644
190835892,10hoyon
190835892,10jsk10
190835892,10mchang
190835892,10rtoids
190835892,10seonkey
190835892,10ynim
190835892,10yong
190835892,1100dpi
190835892,1101jun
190835892,11020019
190835892,1102th
190835892,1106fugh
190835892,111079
190835892,1111cgv
190835892,1111pika
190835892,111222444qaz
190835892,1114end
190835892,1114ih
190835892,1118_
190835892,111martin
190835892,111posu
190835892,111vladimir
190835892,11216871
190835892,1123joy
190835892,1127huni
190835892,1127jsh
190835892,113tachi
190835892,1145aa
190835892,116jik
190835892,1192021
190835892,119mrmp
190835892,11hh33
190835892,11logi
190835892,11rjsdn
190835892,11v_o11
190835892,1202tjdwls
190835892,1205cjb
190835892,1212annarbor
190835892,1216jeong
190835892,1216tjdgns
190835892,12170226
190835892,1218bang
190835892,1219sjw
190835892,1221sh
190835892,1231andrew
190835892,12343455456
190835892,1234530
190835892,1234567high
190835892,123488z
190835892,1234fsgg
190835892,1234qhdial
190835892,1234ssam
190835892,123_koo
190835892,123baekho
190835892,123ghs2
190835892,123jkh
190835892,123killerm
190835892,123qocksgh
190835892,123rkqn
190835892,123sssaaa
190835892,123taehan
190835892,123tonywow
190835892,1245freedom
190835892,124am
190835892,125pasd
190835892,1288392882
190835892,12cember
190835892,12duncan21
190835892,12erghm
190835892,12esperado
190835892,12izone12
190835892,12jeongy
190835892,12m31d_
190835892,12minkyu
190835892,12patt12
190835892,12qwass
190835892,130moodrvng
190835892,1312311
190835892,13274616
190835892,132main
190835892,133890
190835892,1346731456
190835892,1357920
190835892,13579add
190835892,135chrome
190835892,139482
190835892,13___0
190835892,13fow31
190835892,13hjs0925
190835892,13luesky
190835892,13lueway
190835892,13qe13qe13
