user_id,chatter_login
190835892,0000ng
190835892,000zero000
190835892,004sook
190835892,00567abc
190835892,007_bad_girl
190835892,1047081187
190835892,109143
190835892,0118khw
190835892,019you
190835892,0203abc
190835892,0218cody
190835892,02junhu
190835892,0301dl
190835892,0317mom
190835892,03choi31
190835892,03jjy
190835892,42200
190835892,0430hjlee
190835892,04_woori
190835892,04eun02
190835892,0508co
190835892,51999
190835892,0704jun
190835892,83458
190835892,836473
190835892,08kc1237
190835892,0_0hih
190835892,0_________z
190835892,0_blrang
190835892,0ctopusp
190835892,0deuk
190835892,0dezabu0
190835892,0ggiggi
190835892,0mr_jinny
190835892,0rangeholic
190835892,0rehl
190835892,0tozero
190835892,0vrall
190835892,0ysterkim
190835892,1001___
190835892,1001wngud
190835892,10040203
190835892,1004_lux
190835892,1004es1234
190835892,1004lee05
190835892,100613
190835892,100probio
190835892,1016octch
190835892,1020godwice
190835892,1021674411
190835892,1025luinel
190835892,102742
190835892,103683q
190835892,10jsk10
190835892,10rtoids
190835892,10tjdtn
190835892,11020019
190835892,1103aaa
190835892,1103won
190835892,1107jsy
190835892,111079
190835892,11111flame
190835892,1121han
190835892,1122gggg
190835892,1123sj
190835892,1127alswns
190835892,11hh33
190835892,11logi
190835892,1216jeong
190835892,1221sh
190835892,12292005
190835892,123456sth
190835892,123formin
190835892,123ytill
190835892,125pasd
190835892,12patt12
190835892,12ssw
190835892,1312311
190835892,132main
190835892,1357920
190835892,13579wkd
190835892,13579yhs
190835892,13fow31
190835892,13qe13qe13
190835892,1412kld
190835892,1472kboy
190835892,1474love
190835892,15378482
190835892,161109
190835892,186987
190835892,18m_rft38
190835892,1992yh
190835892,1999andy
190835892,1999japan
190835892,19jin96
190835892,19octave
190835892,19tpdlgk
190835892,1_2_3_c
190835892,1_vitu
190835892,1boxmod
190835892,1byul2
190835892,1ceturt1e
190835892,1day1lol
190835892,1e5dy
190835892,1gwon
190835892,1jiku9
190835892,1leesw
190835892,1line1soul
190835892,1molang8
190835892,1n001
190835892,1rang
190835892,1s2q2t
190835892,1sanhobbit
190835892,1shiiro
190835892,1walldog
190835892,1wdc2efv
190835892,1whim
190835892,1woo0
190835892,1woogoodjjang
190835892,2000spd
190835892,2002eric
190835892,2002tjwlsgur
190835892,2004haeun
190835892,2004juhong
190835892,2006man
190835892,20190917
190835892,2020
190835892,2020hm5
190835892,2020tofhdnj
190835892,20ej
190835892,21cboy
190835892,21honest
190835892,22kong
190835892,2307heart
190835892,2328jh
190835892,2333222y
190835892,24676775
190835892,25yearsnow
190835892,2642song
190835892,2857395
190835892,29_09
190835892,29kinc
190835892,2after_glow_2
190835892,2am________
190835892,2bicon
190835892,2bin2002
190835892,2binii
190835892,2c2salty
190835892,2cherry3
190835892,2cyc1222
190835892,2flower_uh
190835892,2ge_naya
190835892,2haeul2
190835892,2hs_lee
190835892,2ji0ho
190835892,2jungleonly
190835892,2juta
190835892,2mako
190835892,2n00msiky
190835892,2oveme
190835892,2yulee
190835892,2zsup
190835892,3003lee
190835892,30826
190835892,30gq45375a34h
190835892,313days
190835892,31f019
190835892,322wldn
190835892,32562745
190835892,32slime
190835892,33530506
190835892,335fg
190835892,34yy
190835892,365jester
190835892,3665asas
190835892,369anstmdcks
190835892,369cs
190835892,36rush
190835892,37906
190835892,3dmotion_lee
190835892,3dmund_lim
190835892,3emigma
190835892,3lack3lank
190835892,3rlatmdgus
190835892,3song2351
190835892,3urur
190835892,3yecvtcher
190835892,3zealseraphrod
190835892,400kim
190835892,4024song
190835892,409l
190835892,41paca
190835892,42b42b
190835892,4465663
190835892,44754
190835892,447756798
190835892,4589z
190835892,467253
190835892,46necoo
190835892,4_muohae_1st
190835892,4ck28
190835892,4everinurs2
190835892,4leaf04
190835892,4modatup
190835892,4rirang
190835892,4th_run
190835892,4usj
190835892,5060h
190835892,512kimbro
190835892,514090
190835892,514suhyun
190835892,51faith
190835892,52door
190835892,5454jmj
190835892,55123314
190835892,5583qkr
190835892,566251ff
190835892,57swji
190835892,5a6789
190835892,5chadel
190835892,5chyo
190835892,5eoykn
190835892,5eunstar
190835892,5great
190835892,5jdfrs12
190835892,5jing_uh
190835892,5jjong
190835892,5joohn
190835892,5wjdgh
190835892,5ya9rut
190835892,602436__
190835892,6031535
190835892,60yearsago
190835892,61woo
190835892,66cm_
190835892,67hj72
190835892,6_goodluck
190835892,6n23rkrk
190835892,718714
190835892,72006509
190835892,720502
190835892,726sj
190835892,73_americano
190835892,77473095
190835892,77dlckdghks
190835892,77hzr
190835892,77lolol
190835892,77rjsgmp
190835892,77ullry
190835892,78543s
190835892,79tfrg
190835892,7keoma
190835892,7sjymnk
190835892,7ssong7
190835892,82byungjun
190835892,830lcm
190835892,8383e
190835892,83rockgi
190835892,860107
190835892,87bai
190835892,87wesley
190835892,8toenail
190835892,9043bb
190835892,90kitae09
190835892,90spoon
190835892,90stardust
190835892,913045aken
190835892,920885
190835892,92junko
190835892,93pheejin
190835892,950249
190835892,950730
190835892,9527moon
190835892,953125
190835892,95572002
190835892,95gong
190835892,95swyoo
190835892,96_0eun
190835892,9708lee
190835892,9745kim
190835892,9806peter
190835892,9898j
190835892,99114819
190835892,1.00E+12
190835892,999wlstn
190835892,99corn
190835892,99smg
190835892,9ar1ic
190835892,9ift
190835892,9nar
190835892,9oldtree
190835892,9qhsaud
190835892,9uri
190835892,9wingno4
190835892,a01041706447
190835892,a0725sun
190835892,a101001
190835892,a110380823
190835892,a12n2e
190835892,a1ka1
190835892,a1tersist
190835892,a20180715
190835892,a2790318
190835892,a2gis0506
190835892,a3622123
190835892,a3_3a
190835892,a4651a
190835892,a5920255
190835892,a69615
190835892,a820321324
190835892,a84568
190835892,a86917888
190835892,a90620027
190835892,a94879466
190835892,a98159815
190835892,a9a9mon
190835892,a_iverson
190835892,aa040923
190835892,aa0970953256
190835892,aa39758130
190835892,aa7029
190835892,aaa0930
190835892,aaa1535
190835892,aaaa7512
190835892,aaac5246
190835892,aaannn000
190835892,aabb3913
190835892,aabbabac
190835892,aadf8882
190835892,aakasia88
190835892,aakim0
190835892,aana98
190835892,aann2007
190835892,aaorwn
190835892,aapark1
190835892,aapox642
190835892,aaqqg
190835892,aarinmonkey
190835892,aaronz28
190835892,aay0909
190835892,aazin159
190835892,ab136679
190835892,aba4610
190835892,abc4628
190835892,abcd1319
190835892,abcd9484
190835892,abcddks
190835892,abclegacy
190835892,abcm0
190835892,abcross75
190835892,abipluse
190835892,ablazesh
190835892,abokado_0122
190835892,abrahambence
190835892,abstinate
190835892,abwerqzxc
190835892,abyoooo
190835892,ac2ount930
190835892,acasani
190835892,accel777
190835892,acconew
190835892,account8
190835892,accscc
190835892,acd1211
190835892,ace4865
190835892,ace76368
190835892,ace9161
190835892,ace_bonze
190835892,acelink123
190835892,acesla
190835892,ach00785
190835892,achess9981
190835892,achies01
190835892,achievehyuk
190835892,aci3978
190835892,acidor42
190835892,ack431
190835892,across0617
190835892,acrosssung
190835892,act128
190835892,actage03
190835892,actionby
190835892,ad4741
190835892,adadzz11
190835892,adam19950312
190835892,adamiiiiiiiiiii
190835892,adbelldk
190835892,add6235
190835892,addict6_riguler
190835892,adekive
190835892,adelio37
190835892,adfdsad
190835892,adg3933
190835892,adh0626
190835892,adh315
190835892,adhfabwhd
190835892,adios16
190835892,adiostails
190835892,adizamg
190835892,adneshan
190835892,adol205
190835892,adonis9703
190835892,adora2742
190835892,adorable_hylas
190835892,adorableboy
190835892,adorablekmj
190835892,adr0906a
190835892,adrianstent
190835892,adsads2233
190835892,aduchi9
190835892,aduksin
190835892,advho
190835892,aedrian9379
190835892,aeekoo0389
190835892,aehgnl
190835892,aehyo
190835892,aejababy
190835892,aekls
190835892,aeonblast01
190835892,aequalb
190835892,aerislockhart
190835892,aero_clone
190835892,aeropro365
190835892,aestiel
190835892,afaf121
190835892,afafaf666
190835892,afds133
190835892,affable_saesbyeol
190835892,afhujhkiloweaf
190835892,afrokim
190835892,afterschoool
190835892,aftershineirl
190835892,ag_sit
190835892,agariagari83
190835892,agatha0419
190835892,agbi6
190835892,agbladebk
190835892,agehatohanabi
190835892,agenere
190835892,ageon1102
190835892,ageryr
190835892,agh9903
190835892,agla1004
190835892,agradable2
190835892,agraht0201
190835892,agrobin0902
190835892,agsfd94
190835892,agsjh
190835892,ah9358
190835892,ahabhapha
190835892,ahajj590
190835892,aham017
190835892,ahaskh
190835892,ahb3609
190835892,ahdzm1156
190835892,ahfmdkdl1121
190835892,ahgnod19
190835892,ahinshar
190835892,ahir0429
190835892,ahn915
190835892,ahng20si
190835892,ahnjoos
190835892,ahnsh0809
190835892,ahnsiho
190835892,ahnvely95
190835892,ahnyechan2
190835892,ahnyo99
190835892,ahrgoeo0905
190835892,ahrin00
190835892,ahrisipal
190835892,ahrrns
190835892,ahslzkqpffncl
190835892,ahsrlf11
190835892,ahtmzmqk
190835892,ai_ayasaki
190835892,aidenkaserky
190835892,aidkser2345
190835892,aiemr
190835892,aih2616
190835892,aiinsted
190835892,aijalon13
190835892,aikenism
190835892,aillerinax
190835892,aimk79
190835892,aimp1029
190835892,aines118
190835892,ainwina21
190835892,airando201
190835892,aircarrier
190835892,aircleaner54
190835892,airekana
190835892,airforce6387
190835892,airi37
190835892,airiwon
190835892,airmanneverdie
190835892,airnam
190835892,airnightlight
190835892,airplans0612
190835892,aisiteru99
190835892,aitjdals
190835892,aiyaseu0
190835892,aizu00
190835892,aj911211
190835892,ajaeda
190835892,ajaiajai
190835892,ajddn456
190835892,ajera82
190835892,ajfkgkwl1
190835892,ajh0620
190835892,ajicdo2727
190835892,ajiralida
190835892,ajlike3
190835892,ajs7000
190835892,ajseltka1
190835892,ajshsplay
190835892,ajttk2132
190835892,ajtwkddltkdwls
190835892,ajtwlskky1
190835892,ajwkdiw
190835892,aka2st
190835892,akachun4
190835892,akak5025
190835892,akansmfqh3
190835892,akapepo
190835892,akari_chen5
190835892,akatikitaka
190835892,akb0716
190835892,akch2001
190835892,akdgkfdm12
190835892,akdlspf
190835892,akdltmxj1
190835892,akdlvmfhxls
190835892,akdlwh
190835892,akdwoakdwo
190835892,akebelly
190835892,akehzk
190835892,akfkxkdajrrhtlvek
190835892,akfls0812
190835892,akfqhfn87
190835892,akgkcl
190835892,akileous5
190835892,akimochi01
190835892,akira0906
190835892,akiya11
190835892,akkaa3253
190835892,akkk_1
190835892,akkpang18
190835892,akkxk
190835892,akltec4
190835892,akoly83
190835892,akqjqrk2006
190835892,akqmf1324
190835892,akqmf147
190835892,akreorl85
190835892,akrkfh
190835892,akrmahar
190835892,akrwldmsdkdlel
190835892,aks975
